"","Season","Player","Position","Minutes_Played","Transfer_Fee/m€","Scoring_Efficiency/(min/gls)"
"1","2014-2015","Alexis Sánchez","Centre-Forward",2942,42.5,183.88
"2","2015-2016","Petr Cech","Goalkeeper",3060,14,NA
"3","2016-2017","Granit Xhaka","Defensive Midfield",2485,45,1242.5
"4","2017-2018","Pierre-Emerick Aubameyang","Centre-Forward",1416,63.75,108.92
"5","2018-2019","Lucas Torreira","Defensive Midfield",2382,28.65,1191
"6","2019-2020","Nicolas Pépé","Right Winger",2010,80,402
"7","2020-2021","Thomas Partey","Defensive Midfield",200,50,NA
"8","2021-2022","Ben White","Right-Back",2880,58.5,NA
"9","2022-2023","Gabriel Jesus","Centre-Forward",2064,52.2,187.64
"10","2023-2024","Declan Rice","Central Midfield",3225,116.6,460.71
