"Date","Time","Round","Day","Venue","Result","GF","GA","Opponent","Poss","Attendance","Captain","Formation","Opp Formation","Referee","Match Report","Notes"
"2015-08-09","13:30","Matchweek 1","Sun","Home","L",0,2,"West Ham",62,"59,996","Per Mertesacker","4-2-3-1","4-3-3","Martin Atkinson","Match Report",NA
"2015-08-16","13:30","Matchweek 2","Sun","Away","W",2,1,"Crystal Palace",59,"24,732","Per Mertesacker","4-2-3-1","4-5-1","Lee Mason","Match Report",NA
"2015-08-24","20:00","Matchweek 3","Mon","Home","D",0,0,"Liverpool",66,"60,080","Santi Cazorla","4-2-3-1","4-3-3","Michael Oliver","Match Report",NA
"2015-08-29","12:45","Matchweek 4","Sat","Away","W",1,0,"Newcastle Utd",74,"50,388","Santi Cazorla","4-2-3-1","4-2-3-1","Andre Marriner","Match Report",NA
"2015-09-12","15:00","Matchweek 5","Sat","Home","W",2,0,"Stoke City",68,"59,963","Santi Cazorla","4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2015-09-19","12:45","Matchweek 6","Sat","Away","L",0,2,"Chelsea",37,"41,584","Santi Cazorla","4-2-3-1","4-2-3-1","Mike Dean","Match Report",NA
"2015-09-26","15:00","Matchweek 7","Sat","Away","W",5,2,"Leicester City",58,"32,047","Per Mertesacker","4-2-3-1","4-4-2","Craig Pawson","Match Report",NA
"2015-10-04","16:00","Matchweek 8","Sun","Home","W",3,0,"Manchester Utd",38,"60,084","Per Mertesacker","4-2-3-1","4-2-3-1","Anthony Taylor","Match Report",NA
"2015-10-17","17:30","Matchweek 9","Sat","Away","W",3,0,"Watford",67,"20,721","Per Mertesacker","4-2-3-1","4-4-2","Mike Jones","Match Report",NA
"2015-10-24","17:30","Matchweek 10","Sat","Home","W",2,1,"Everton",56,"59,985","Santi Cazorla","4-2-3-1","4-2-3-1","Lee Mason","Match Report",NA
"2015-10-31","15:00","Matchweek 11","Sat","Away","W",3,0,"Swansea City",46,"20,937","Per Mertesacker","4-2-3-1","4-2-3-1","Kevin Friend","Match Report",NA
"2015-11-08","16:00","Matchweek 12","Sun","Home","D",1,1,"Tottenham",55,"60,060","Per Mertesacker","4-2-3-1","4-2-3-1","Martin Atkinson","Match Report",NA
"2015-11-21","15:00","Matchweek 13","Sat","Away","L",1,2,"West Brom",73,"24,343","Per Mertesacker","4-2-3-1","4-4-1-1","Mark Clattenburg","Match Report",NA
"2015-11-29","16:15","Matchweek 14","Sun","Away","D",1,1,"Norwich City",63,"27,091","Per Mertesacker","4-2-3-1","4-4-1-1","Jonathan Moss","Match Report",NA
"2015-12-05","15:00","Matchweek 15","Sat","Home","W",3,1,"Sunderland",73,"59,937","Per Mertesacker","4-2-3-1","5-4-1","Robert Madley","Match Report",NA
"2015-12-13","13:30","Matchweek 16","Sun","Away","W",2,0,"Aston Villa",54,"33,285","Per Mertesacker","4-2-3-1","4-2-3-1","Kevin Friend","Match Report",NA
"2015-12-21","20:00","Matchweek 17","Mon","Home","W",2,1,"Manchester City",37,"60,053","Per Mertesacker","4-2-3-1","4-4-1-1","Andre Marriner","Match Report",NA
"2015-12-26","19:45","Matchweek 18","Sat","Away","L",0,4,"Southampton",65,"31,669","Per Mertesacker","4-2-3-1","4-2-3-1","Jonathan Moss","Match Report",NA
"2015-12-28","17:30","Matchweek 19","Mon","Home","W",2,0,"Bournemouth",51,"59,983","Per Mertesacker","4-2-3-1","4-1-4-1","Roger East","Match Report",NA
