Player,Position,Fee
Alexis Sánchez,Centre-Forward,€42.50m
Calum Chambers,Centre-Back,€20.23m
Danny Welbeck,Centre-Forward,€20.00m
Mathieu Debuchy,Right-Back,€15.00m
Gabriel Paulista,Centre-Back,€15.00m
David Ospina,Goalkeeper,€4.00m
Krystian Bielik,Centre-Back,€2.25m
Héctor Bellerín,Right-Back,-
Joel Campbell,Right Winger,"End of loanJun 30, 2014"
Johan Djourou,Centre-Back,"End of loanJun 30, 2014"
Francis Coquelin,Defensive Midfield,"End of loanDec 12, 2014"
Francis Coquelin,Defensive Midfield,"End of loanJun 30, 2014"
Yaya Sanogo,Centre-Forward,"End of loanMay 31, 2015"
Wellington Silva,Right Winger,"End of loanMay 31, 2015"
Emiliano Martínez,Goalkeeper,"End of loanMay 4, 2015"
Wellington Silva,Right Winger,"End of loanJun 30, 2014"
Kristoffer Olsson,Central Midfield,"End of loanJan 3, 2015"
Semi Ajayi,Centre-Back,"End of loanMay 31, 2015"
