,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €26.50m,Sum: €26.50m,Sum: €26.50m,Sum: €26.50m,Sum: €26.50m,Sum: €26.50m,NA,NA,NA,NA,NA,NA
Average age: 22.9,Average age: 22.9,Average age: 22.9,Average age: 22.9,Average age: 22.9,Average age: 22.9,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €55.50m,Total market value of arrivals: €55.50m,Total market value of arrivals: €55.50m,Total market value of arrivals: €55.50m,Total market value of arrivals: €55.50m,Total market value of arrivals: €55.50m,NA,NA,NA,NA,NA,NA
,"Petr Cech                            
        Goalkeeper",,Petr Cech,Goalkeeper,33,NA,"Chelsea        
    
            Premier League",NA,Chelsea,Premier League,€14.00m
,Petr Cech,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelsea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mohamed Elneny                            
        Defensive Midfield",,Mohamed Elneny,Defensive Midfield,23,NA,"FC Basel        
    
            Super League",NA,FC Basel,Super League,€12.50m
,Mohamed Elneny,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Basel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Super League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Chuba Akpom                            
        Centre-Forward",,Chuba Akpom,Centre-Forward,19,NA,"Arsenal U21        
    
            PL2 Playoffs",NA,Arsenal U21,PL2 Playoffs,-
,Chuba Akpom,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,PL2 Playoffs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Matt Macey                            
        Goalkeeper",,Matt Macey,Goalkeeper,20,NA,"Arsenal U21        
    
            PL2 Playoffs",NA,Arsenal U21,PL2 Playoffs,-
,Matt Macey,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,PL2 Playoffs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Alex Iwobi                            
        Left Winger",,Alex Iwobi,Left Winger,19,NA,"Arsenal U21        
    
            PL2 Playoffs",NA,Arsenal U21,PL2 Playoffs,-
,Alex Iwobi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,PL2 Playoffs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Carl Jenkinson                            
        Right-Back",,Carl Jenkinson,Right-Back,23,NA,"West Ham        
    
            Premier League",NA,West Ham,Premier League,"End of loanJan 31, 2016"
,Carl Jenkinson,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,West Ham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Lukas Podolski                            
        Centre-Forward",,Lukas Podolski,Centre-Forward,30,NA,"Inter        
    
            Serie A",NA,Inter,Serie A,"End of loanJun 30, 2015"
,Lukas Podolski,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Inter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Joel Campbell                            
        Right Winger",,Joel Campbell,Right Winger,23,NA,"Villarreal        
    
            LaLiga",NA,Villarreal,LaLiga,"End of loanJun 30, 2015"
,Joel Campbell,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Villarreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Serge Gnabry                            
        Left Winger",,Serge Gnabry,Left Winger,20,NA,"West Brom        
    
            Premier League",NA,West Brom,Premier League,"End of loanFeb 1, 2016"
,Serge Gnabry,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Left Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,West Brom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Wellington Silva                            
        Right Winger",,Wellington Silva,Right Winger,23,NA,"Bolton        
    
            Championship",NA,Bolton,Championship,"End of loanMay 31, 2016"
,Wellington Silva,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bolton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Yaya Sanogo                            
        Centre-Forward",,Yaya Sanogo,Centre-Forward,23,NA,"Charlton        
    
            Championship",NA,Charlton,Championship,"End of loanMay 31, 2016"
,Yaya Sanogo,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Charlton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Emiliano Martínez                            
        Goalkeeper",,Emiliano Martínez,Goalkeeper,23,NA,"Wolves        
    
            Championship",NA,Wolves,Championship,"End of loanMay 31, 2016"
