,Player,Age,Nat.,Left,Fee,,,,,,
Sum: €80.15m,Sum: €80.15m,Sum: €80.15m,Sum: €80.15m,Sum: €80.15m,Sum: €80.15m,NA,NA,NA,NA,NA,NA
Average age: 24.6,Average age: 24.6,Average age: 24.6,Average age: 24.6,Average age: 24.6,Average age: 24.6,NA,NA,NA,NA,NA,NA
Total market value of arrivals: €118.20m,Total market value of arrivals: €118.20m,Total market value of arrivals: €118.20m,Total market value of arrivals: €118.20m,Total market value of arrivals: €118.20m,Total market value of arrivals: €118.20m,NA,NA,NA,NA,NA,NA
,"Lucas Torreira                            
        Defensive Midfield",,Lucas Torreira,Defensive Midfield,22,NA,"Sampdoria        
    
            Serie A",NA,Sampdoria,Serie A,€28.65m
,Lucas Torreira,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sampdoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Bernd Leno                            
        Goalkeeper",,Bernd Leno,Goalkeeper,26,NA,"B. Leverkusen        
    
            Bundesliga",NA,B. Leverkusen,Bundesliga,€25.00m
,Bernd Leno,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,B. Leverkusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Sokratis Papastathopoulos                            
        Centre-Back",,Sokratis Papastathopoulos,Centre-Back,30,NA,"Bor. Dortmund        
    
            Bundesliga",NA,Bor. Dortmund,Bundesliga,€16.00m
,Sokratis Papastathopoulos,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bor. Dortmund,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Mattéo Guendouzi                            
        Central Midfield",,Mattéo Guendouzi,Central Midfield,19,NA,"FC Lorient        
    
            Ligue 2",NA,FC Lorient,Ligue 2,€8.00m
,Mattéo Guendouzi,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Central Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,FC Lorient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ligue 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Denis Suárez                            
        Attacking Midfield",,Denis Suárez,Attacking Midfield,25,NA,"Barcelona        
    
            LaLiga",NA,Barcelona,LaLiga,Loan fee:€2.50m
,Denis Suárez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Barcelona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Stephan Lichtsteiner                            
        Right-Back",,Stephan Lichtsteiner,Right-Back,34,NA,"Juventus        
    
            Serie A",NA,Juventus,Serie A,free transfer
,Stephan Lichtsteiner,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Juventus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Serie A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Dejan Iliev                            
        Goalkeeper",,Dejan Iliev,Goalkeeper,23,NA,"Arsenal U21        
    
            Premier League 2",NA,Arsenal U21,Premier League 2,-
,Dejan Iliev,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Eddie Nketiah                            
        Centre-Forward",,Eddie Nketiah,Centre-Forward,19,NA,"Arsenal U21        
    
            Premier League 2",NA,Arsenal U21,Premier League 2,-
,Eddie Nketiah,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Arsenal U21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Calum Chambers                            
        Centre-Back",,Calum Chambers,Centre-Back,24,NA,"Fulham        
    
            Premier League",NA,Fulham,Premier League,"End of loanMay 31, 2019"
,Calum Chambers,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Fulham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Premier League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Lucas Pérez                            
        Centre-Forward",,Lucas Pérez,Centre-Forward,29,NA,"Dep. La Coruña        
    
            LaLiga2",NA,Dep. La Coruña,LaLiga2,"End of loanJun 30, 2018"
,Lucas Pérez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Dep. La Coruña,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Joel Campbell                            
        Right Winger",,Joel Campbell,Right Winger,26,NA,"Real Betis        
    
            LaLiga",NA,Real Betis,LaLiga,"End of loanJun 30, 2018"
,Joel Campbell,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Real Betis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Takuma Asano                            
        Right Winger",,Takuma Asano,Right Winger,23,NA,"VfB Stuttgart        
    
            Bundesliga",NA,VfB Stuttgart,Bundesliga,"End of loanJun 30, 2018"
,Takuma Asano,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Right Winger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,VfB Stuttgart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bundesliga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Krystian Bielik                            
        Centre-Back",,Krystian Bielik,Centre-Back,21,NA,"Charlton        
    
            League One",NA,Charlton,League One,"End of loanMay 31, 2019"
,Krystian Bielik,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Charlton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,League One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Chuba Akpom                            
        Centre-Forward",,Chuba Akpom,Centre-Forward,22,NA,"Sint-Truiden        
    
            Jupiler Pro League",NA,Sint-Truiden,Jupiler Pro League,"End of loanJun 30, 2018"
,Chuba Akpom,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Centre-Forward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sint-Truiden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Jupiler Pro League,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Emiliano Martínez                            
        Goalkeeper",,Emiliano Martínez,Goalkeeper,26,NA,"Reading        
    
            Championship",NA,Reading,Championship,"End of loanMay 31, 2019"
,Emiliano Martínez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Championship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Emiliano Martínez                            
        Goalkeeper",,Emiliano Martínez,Goalkeeper,25,NA,"Getafe        
    
            LaLiga",NA,Getafe,LaLiga,"End of loanJun 30, 2018"
,Emiliano Martínez,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Getafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,LaLiga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Matt Macey                            
        Goalkeeper",,Matt Macey,Goalkeeper,24,NA,"Plymouth        
    
            League One",NA,Plymouth,League One,"End of loanMay 31, 2019"
,Matt Macey,,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Goalkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Plymouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,League One,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
